Регион;Округ;Год;Показатель;№ строки;Единица измерения; Значение 
Калужская область;ЦФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;346
Калужская область;ЦФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;200
Калужская область;ЦФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;8380
Калужская область;ЦФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;1200
Камчатский край;ДФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел; -   
Камчатский край;ДФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед; -   
Камчатский край;ДФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;1611218
Камчатский край;ДФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед; -   
Камчатский край;ДФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;150
Камчатский край;ДФО;2021;      в печатных средствах массовой информации;39;ед; -   
Камчатский край;ДФО;2021;      в интернет-СМИ;40;ед;138
Камчатский край;ДФО;2021;      ТВ-сюжетов;41;ед;12
Камчатский край;ДФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед; -   
Камчатский край;ДФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;48
Камчатский край;ДФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;718
Камчатский край;ДФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;565
Республика Карелия;СЗФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;5730
Республика Карелия;СЗФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;32000
Республика Карелия;СЗФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;200000
Республика Карелия;СЗФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;5
Республика Карелия;СЗФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;1406
Республика Карелия;СЗФО;2021;      в печатных средствах массовой информации;39;ед;117
Республика Карелия;СЗФО;2021;      в интернет-СМИ;40;ед;1225
Республика Карелия;СЗФО;2021;      ТВ-сюжетов;41;ед;64
Республика Карелия;СЗФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;33
Республика Карелия;СЗФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;72
Республика Карелия;СЗФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;7181
Республика Карелия;СЗФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;503
Кемеровская область;СФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;5378611
Кемеровская область;СФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;6042612
Кемеровская область;СФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб; -   
Кемеровская область;СФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;23
Кемеровская область;СФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;882
Кемеровская область;СФО;2021;      в печатных средствах массовой информации;39;ед;39
Кемеровская область;СФО;2021;      в интернет-СМИ;40;ед;789
Кемеровская область;СФО;2021;      ТВ-сюжетов;41;ед;54
Кемеровская область;СФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед; -   
Кемеровская область;СФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;9
Кемеровская область;СФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;1620
Кемеровская область;СФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;1219
Кировская область;ПФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;18648
Кировская область;ПФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;20265
Кировская область;ПФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб; -   
Кировская область;ПФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;17
Кировская область;ПФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;158
Кировская область;ПФО;2021;      в печатных средствах массовой информации;39;ед;19
Кировская область;ПФО;2021;      в интернет-СМИ;40;ед;96
Кировская область;ПФО;2021;      ТВ-сюжетов;41;ед;43
Кировская область;ПФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;168
Кировская область;ПФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;37
Кировская область;ПФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;26773
Кировская область;ПФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;2914
Республика Коми;СЗФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;83353
Республика Коми;СЗФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;429936
Республика Коми;СЗФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб; -   
Республика Коми;СЗФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;20
Республика Коми;СЗФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;3208
Республика Коми;СЗФО;2021;      в печатных средствах массовой информации;39;ед;885
Республика Коми;СЗФО;2021;      в интернет-СМИ;40;ед;2061
Республика Коми;СЗФО;2021;      ТВ-сюжетов;41;ед;262
Республика Коми;СЗФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;26
Республика Коми;СЗФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;37
Республика Коми;СЗФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;30220
Республика Коми;СЗФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;6737
Костромская область;ЦФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;68653
Костромская область;ЦФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;158922
Костромская область;ЦФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;36000
Костромская область;ЦФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;5
Костромская область;ЦФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;1685
Костромская область;ЦФО;2021;      в печатных средствах массовой информации;39;ед;183
Костромская область;ЦФО;2021;      в интернет-СМИ;40;ед;1300
Костромская область;ЦФО;2021;      ТВ-сюжетов;41;ед;202
Костромская область;ЦФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;902
Костромская область;ЦФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;250
Костромская область;ЦФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;6557
Костромская область;ЦФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;6069
Краснодарский край;ЮФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;22365
Краснодарский край;ЮФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;25697
Краснодарский край;ЮФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;310194
Краснодарский край;ЮФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;2
Краснодарский край;ЮФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;112
Краснодарский край;ЮФО;2021;      в печатных средствах массовой информации;39;ед;9
Краснодарский край;ЮФО;2021;      в интернет-СМИ;40;ед;45
Краснодарский край;ЮФО;2021;      ТВ-сюжетов;41;ед;58
Краснодарский край;ЮФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;31
Краснодарский край;ЮФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;29
Краснодарский край;ЮФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;46904
Краснодарский край;ЮФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;9250
Красноярский край;СФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;27930
Красноярский край;СФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;39102
Красноярский край;СФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;2271030
Красноярский край;СФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;20
Красноярский край;СФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;430
Красноярский край;СФО;2021;      в печатных средствах массовой информации;39;ед;108
Красноярский край;СФО;2021;      в интернет-СМИ;40;ед;246
Красноярский край;СФО;2021;      ТВ-сюжетов;41;ед;76
Красноярский край;СФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;34
Красноярский край;СФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;51
Красноярский край;СФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;106709
Красноярский край;СФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;10593
Республика Крым;ЮФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;5241
Республика Крым;ЮФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;32634
Республика Крым;ЮФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;3700000
Республика Крым;ЮФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;43
Республика Крым;ЮФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;291
Республика Крым;ЮФО;2021;      в печатных средствах массовой информации;39;ед;139
Республика Крым;ЮФО;2021;      в интернет-СМИ;40;ед;125
Республика Крым;ЮФО;2021;      ТВ-сюжетов;41;ед;27
Республика Крым;ЮФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;21
Республика Крым;ЮФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;7
Республика Крым;ЮФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;8873
Республика Крым;ЮФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;3026
Курганская область;УФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;941718
Курганская область;УФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;3766872
Курганская область;УФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб; -   
Курганская область;УФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;265
Курганская область;УФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;538
Курганская область;УФО;2021;      в печатных средствах массовой информации;39;ед;311
Курганская область;УФО;2021;      в интернет-СМИ;40;ед;164
Курганская область;УФО;2021;      ТВ-сюжетов;41;ед;63
Курганская область;УФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;8
Курганская область;УФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;69
Курганская область;УФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;13101
Курганская область;УФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;2923
Курская область;ЦФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;5218
Курская область;ЦФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;21645
Курская область;ЦФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;574751
Курская область;ЦФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;156
Курская область;ЦФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;552
Курская область;ЦФО;2021;      в печатных средствах массовой информации;39;ед;117
Курская область;ЦФО;2021;      в интернет-СМИ;40;ед;256
Курская область;ЦФО;2021;      ТВ-сюжетов;41;ед;179
Курская область;ЦФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;153
Курская область;ЦФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;140
Курская область;ЦФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;16319
Курская область;ЦФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;4094
Ленинградская область;СЗФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;24706
Ленинградская область;СЗФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;67420
Ленинградская область;СЗФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;1142377
Ленинградская область;СЗФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;2
